customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,Charges.Daily,Charges.Monthly,Charges.Total,Charges.Daily_range,Charges.Monthly_range,Charges.Total_range,tenure_range
0017-DINOC,Male,0,No,No,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),No,54,1.5066666666666668,45.2,2460.55,1.5-2.0,35.0-50.0,1389.0-3411.5,48-60
0017-IUDMW,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No,72,3.893333333333333,116.8,8456.75,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0018-NYROU,Female,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,5,2.2983333333333333,68.95,351.5,2.0-2.5,50.0-70.0,0 - 396.0,0-12
0019-EFAEP,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),No,72,3.3766666666666665,101.3,7261.25,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0019-GFNTW,Female,0,No,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),No,56,1.5016666666666665,45.05,2560.1,1.5-2.0,35.0-50.0,1389.0-3411.5,48-60
0020-INWCK,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),No,71,3.191666666666667,95.75,6849.4,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0020-JDNXP,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,No,34,2.0416666666666665,61.25,1993.2,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
0021-IKXGC,Female,1,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,No,1,2.4033333333333333,72.1,72.1,2.0-2.5,70.0-80.0,0 - 396.0,0-12
0022-TCJCI,Male,1,No,No,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),Yes,45,2.0900000000000003,62.7,2791.5,2.0-2.5,50.0-70.0,1389.0-3411.5,36-48
0023-HGHWL,Male,1,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,1,0.8366666666666667,25.1,25.1,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0023-UYUPN,Female,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,No,50,0.84,25.2,1306.3,0 - 1.0,18.0-35.0,1142.5-1389.0,48-60
0023-XUOPT,Female,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,Yes,13,3.1366666666666663,94.1,1215.6,3.0-4.0,90.0-119.0,1142.5-1389.0,12-24
0027-KWYKW,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,23,2.7916666666666665,83.75,1849.95,2.5-3.0,80.0-90.0,1389.0-3411.5,12-24
0030-FNXPP,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,3,0.6616666666666667,19.85,57.2,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0031-PVLZI,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,4,0.6783333333333333,20.35,76.35,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0032-PGELS,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,1,1.0166666666666666,30.5,30.5,1.0-1.5,18.0-35.0,0 - 396.0,0-12
0036-IHMOT,Female,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),No,55,3.4566666666666666,103.7,5656.75,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
0040-HALCW,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,54,0.6799999999999999,20.4,1090.6,0 - 1.0,18.0-35.0,396.0-1142.5,48-60
0042-JVWOJ,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No,26,0.6533333333333334,19.6,471.85,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
0042-RLHYP,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,69,0.6566666666666666,19.7,1396.9,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
0047-ZHDTW,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes,11,2.6333333333333333,79.0,929.3,2.5-3.0,70.0-80.0,396.0-1142.5,0-12
0048-LUMLS,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),No,37,3.04,91.2,3247.55,3.0-4.0,90.0-119.0,1389.0-3411.5,36-48
0048-PIHNL,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),No,49,0.6816666666666666,20.45,900.9,0 - 1.0,18.0-35.0,396.0-1142.5,48-60
0052-DCKON,Male,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),No,66,3.86,115.8,7942.15,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0052-YNYOT,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,No,67,0.685,20.55,1343.4,0 - 1.0,18.0-35.0,1142.5-1389.0,60+
0056-EPFBG,Male,0,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No,20,1.3133333333333332,39.4,825.4,1.0-1.5,35.0-50.0,396.0-1142.5,12-24
0057-QBUQH,Female,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,No,43,0.8366666666666667,25.1,1070.15,0 - 1.0,18.0-35.0,396.0-1142.5,36-48
0058-EVZWM,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,55,2.993333333333333,89.8,4959.6,2.5-3.0,80.0-90.0,3779.0-8685.0,48-60
0060-FUALY,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,59,3.158333333333333,94.75,5597.65,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
0064-SUDOG,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),No,12,0.6766666666666666,20.3,224.5,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0064-YIJGF,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,27,2.525,75.75,1929.0,2.5-3.0,70.0-80.0,1389.0-3411.5,24-36
0067-DKWBL,Male,1,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,2,1.6416666666666666,49.25,91.1,1.5-2.0,35.0-50.0,0 - 396.0,0-12
0068-FIGTF,Female,0,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,No,27,2.606666666666667,78.2,2078.95,2.5-3.0,70.0-80.0,1389.0-3411.5,24-36
0071-NDAFP,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,25,0.85,25.5,630.6,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
0074-HDKDG,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),No,25,2.0533333333333332,61.6,1611.0,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
0076-LVEPS,Male,0,No,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,No,29,1.5,45.0,1242.45,1.5-2.0,35.0-50.0,1142.5-1389.0,24-36
0078-XZMHT,Male,0,Yes,No,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No,72,2.8383333333333334,85.15,6316.2,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
0080-EMYVY,Female,0,No,No,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),No,14,1.715,51.45,727.85,1.5-2.0,50.0-70.0,396.0-1142.5,12-24
0080-OROZO,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No,35,3.308333333333333,99.25,3532.0,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
0082-LDZUE,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,1,1.4766666666666666,44.3,44.3,1.0-1.5,35.0-50.0,0 - 396.0,0-12
0082-OQIQY,Male,0,No,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,29,3.14,94.2,2607.6,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
0083-PIVIK,Male,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,No,64,2.7083333333333335,81.25,5567.55,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
0089-IIQKO,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No,39,3.3316666666666666,99.95,3767.4,3.0-4.0,90.0-119.0,3411.5-3779.0,36-48
0093-EXYQL,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,40,3.0516666666666667,91.55,3673.6,3.0-4.0,90.0-119.0,3411.5-3779.0,36-48
0093-XWZFY,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes,40,3.4833333333333334,104.5,4036.85,3.0-4.0,90.0-119.0,3779.0-8685.0,36-48
0094-OIFMO,Female,1,No,No,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,11,3.1666666666666665,95.0,1120.3,3.0-4.0,90.0-119.0,396.0-1142.5,0-12
0096-BXERS,Female,0,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,No,6,1.6783333333333335,50.35,314.55,1.5-2.0,50.0-70.0,0 - 396.0,0-12
0096-FCPUF,Male,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,No,30,2.15,64.5,1888.45,2.0-2.5,50.0-70.0,1389.0-3411.5,24-36
0098-BOWSO,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,No,27,0.6466666666666666,19.4,529.8,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
0100-DUVFC,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,No,70,3.493333333333333,104.8,7308.95,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0103-CSITQ,Female,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),No,57,3.646666666666667,109.4,6252.7,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
0104-PPXDV,Male,0,Yes,No,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),No,58,1.6766666666666665,50.3,2878.55,1.5-2.0,50.0-70.0,1389.0-3411.5,48-60
0106-GHRQR,Male,0,No,No,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No,16,2.3800000000000003,71.4,1212.1,2.0-2.5,70.0-80.0,1142.5-1389.0,12-24
0106-UGRDO,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No,69,3.8666666666666667,116.0,8182.85,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0107-WESLM,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,Yes,1,0.6616666666666667,19.85,19.85,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0107-YHINA,Male,0,No,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,1,3.325,99.75,99.75,3.0-4.0,90.0-119.0,0 - 396.0,0-12
0111-KLBQG,Male,1,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,No,32,3.131666666666667,93.95,2861.45,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
0112-QAWRZ,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No,16,3.0266666666666664,90.8,1442.2,3.0-4.0,90.0-119.0,1389.0-3411.5,12-24
0112-QWPNC,Male,0,Yes,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,Yes,49,2.8116666666666665,84.35,4059.35,2.5-3.0,80.0-90.0,3779.0-8685.0,48-60
0114-IGABW,Female,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),No,71,1.9416666666666667,58.25,4145.9,1.5-2.0,50.0-70.0,3779.0-8685.0,60+
0114-PEGZZ,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,No,33,3.585,107.55,3645.5,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
0114-RSRRW,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),No,10,0.6649999999999999,19.95,187.75,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0115-TFERT,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,21,3.7066666666666666,111.2,2317.1,3.0-4.0,90.0-119.0,1389.0-3411.5,12-24
0117-LFRMW,Male,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes,37,1.34,40.2,1448.8,1.0-1.5,35.0-50.0,1389.0-3411.5,36-48
0118-JPNOY,Female,1,No,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,26,2.86,85.8,2193.65,2.5-3.0,80.0-90.0,1389.0-3411.5,24-36
0120-YZLQA,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),Yes,71,0.6633333333333333,19.9,1355.1,0 - 1.0,18.0-35.0,1142.5-1389.0,60+
0121-SNYRK,Male,0,No,No,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,No,50,1.18,35.4,1748.9,1.0-1.5,35.0-50.0,1389.0-3411.5,48-60
0122-OAHPZ,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,7,2.4616666666666664,73.85,511.25,2.0-2.5,70.0-80.0,396.0-1142.5,0-12
0123-CRBRT,Female,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,61,2.9366666666666665,88.1,5526.75,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
0125-LZQXK,Male,0,No,No,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,15,3.378333333333333,101.35,1553.95,3.0-4.0,90.0-119.0,1389.0-3411.5,12-24
0128-MKWSG,Female,0,No,Yes,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,No,26,1.5266666666666666,45.8,1147.0,1.5-2.0,35.0-50.0,1142.5-1389.0,24-36
0129-KPTWJ,Male,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,72,3.1550000000000002,94.65,6747.35,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0129-QMPDR,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),No,44,0.6833333333333333,20.5,865.05,0 - 1.0,18.0-35.0,396.0-1142.5,36-48
0130-SXOUN,Male,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),No,66,2.98,89.4,5976.9,2.5-3.0,80.0-90.0,3779.0-8685.0,60+
0133-BMFZO,Female,0,No,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,Yes,2,2.875,86.25,181.65,2.5-3.0,80.0-90.0,0 - 396.0,0-12
0134-XWXCE,Female,1,No,No,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),No,44,2.4949999999999997,74.85,3268.05,2.0-2.5,70.0-80.0,1389.0-3411.5,36-48
0135-NMXAP,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),Yes,12,2.9916666666666667,89.75,1052.4,2.5-3.0,80.0-90.0,396.0-1142.5,0-12
0136-IFMYD,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No,69,3.665,109.95,7634.25,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0137-OCGAB,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,1,2.6733333333333333,80.2,80.2,2.5-3.0,80.0-90.0,0 - 396.0,0-12
0137-UDEUO,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,Yes,3,0.6616666666666667,19.85,63.75,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0139-IVFJG,Female,0,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No,2,3.0116666666666663,90.35,190.5,3.0-4.0,90.0-119.0,0 - 396.0,0-12
0141-YEAYS,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No,27,2.881666666666667,86.45,2401.05,2.5-3.0,80.0-90.0,1389.0-3411.5,24-36
0142-GVYSN,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,No,26,0.6766666666666666,20.3,511.25,0 - 1.0,18.0-35.0,396.0-1142.5,24-36
0147-ESWWR,Female,1,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,39,3.375,101.25,3949.15,3.0-4.0,90.0-119.0,3779.0-8685.0,36-48
0148-DCDOS,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,25,3.1566666666666667,94.7,2362.1,3.0-4.0,90.0-119.0,1389.0-3411.5,24-36
0151-ONTOV,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,Yes,1,2.3633333333333337,70.9,70.9,2.0-2.5,70.0-80.0,0 - 396.0,0-12
0154-QYHJU,Male,0,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,Yes,29,1.9583333333333333,58.75,1696.2,1.5-2.0,50.0-70.0,1389.0-3411.5,24-36
0156-FVPTA,Male,0,Yes,No,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,Yes,22,1.8066666666666669,54.2,1152.7,1.5-2.0,50.0-70.0,1142.5-1389.0,12-24
0162-RZGMZ,Female,1,No,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),Yes,5,1.9966666666666666,59.9,287.85,1.5-2.0,50.0-70.0,0 - 396.0,0-12
0164-APGRB,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,No,72,3.83,114.9,8496.7,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0164-XAIRP,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),No,24,0.6516666666666667,19.55,470.2,0 - 1.0,18.0-35.0,396.0-1142.5,12-24
0168-XZKBB,Female,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,No,19,2.895,86.85,1564.4,2.5-3.0,80.0-90.0,1389.0-3411.5,12-24
0174-QRVVY,Male,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,71,0.8450000000000001,25.35,1847.55,0 - 1.0,18.0-35.0,1389.0-3411.5,60+
0177-PXBAT,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No,33,3.6633333333333336,109.9,3694.7,3.0-4.0,90.0-119.0,3411.5-3779.0,24-36
0178-CIIKR,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,3,0.6649999999999999,19.95,58.0,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0178-SZBHO,Male,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No,47,2.9066666666666667,87.2,4017.45,2.5-3.0,80.0-90.0,3779.0-8685.0,36-48
0181-RITDD,Male,0,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No,62,3.605,108.15,6825.65,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0186-CAERR,Male,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),No,71,3.8766666666666665,116.3,8309.55,3.0-4.0,90.0-119.0,3779.0-8685.0,60+
0187-QSXOE,Male,1,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,7,2.966666666666667,89.0,605.45,2.5-3.0,80.0-90.0,396.0-1142.5,0-12
0187-WZNAB,Female,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,27,2.48,74.4,1972.35,2.0-2.5,70.0-80.0,1389.0-3411.5,24-36
0188-GWFLE,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,No,2,0.6683333333333333,20.05,33.7,0 - 1.0,18.0-35.0,0 - 396.0,0-12
0191-EQUUH,Female,0,No,Yes,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),No,25,1.1683333333333332,35.05,844.45,1.0-1.5,35.0-50.0,396.0-1142.5,24-36
0191-ZHSKZ,Male,1,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No,30,2.4916666666666667,74.75,2111.3,2.0-2.5,70.0-80.0,1389.0-3411.5,24-36
0193-ESZXP,Female,1,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),Yes,58,3.5166666666666666,105.5,6205.5,3.0-4.0,90.0-119.0,3779.0-8685.0,48-60
0195-IESCP,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes,10,2.841666666666667,85.25,855.3,2.5-3.0,80.0-90.0,396.0-1142.5,0-12
